LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),( /frame),( ),(frame),( ),( ),( ),
ID1170070 ? ID1171141,28,1170070,1171141,0.15771860439065277,0.5938818863693646,1.2344066348878462,1.2344066348878462,39.5,938.8418628905968,399.73483065347057,0.0,
ID1174482 ? ID1175294,28,1174482,1175294,0.624133148404993,0.5331912116652829,10.847513760895007,10.847513760895007,56.5,928.7186024579352,415.4448716888558,0.0,
ID1175203 ? ID1175120,28,1175203,1175120,0.18604651162776664,2.385641268976484,0.9776905299851475,0.9776905299851475,57.5,940.3538713538713,385.3172473172473,0.0,
ID1173682 ? ID1173996,28,1173682,1173996,0.056272503243478766,1.1871448042325727,0.0770632974913757,0.0770632974913757,53.5,939.440615747435,377.4434026554228,0.0,
ID1166398 ? ID1166917,28,1166398,1166917,0.12839214640757712,NaN,0.3154477067344833,0.3154477067344833,0.5,939.3449741730566,384.5337667615412,0.0,
ID1173167 ? ID1173441,28,1173167,1173441,0.060601123016357894,0.7020683966708516,0.2992196267123353,0.2992196267123353,51.5,934.3114803327918,408.46525254762963,0.0,
ID1167258 ? ID1167566,28,1167258,1167566,0.053477638070768774,1.6671318648874152,0.2535767810803425,0.2535767810803425,16.5,939.9601566164288,386.9619217167529,0.0,
ID1170842 ? ID1171235,28,1170842,1171235,0.09218081432617309,0.5383124742055541,0.7531779335604285,0.7531779335604285,41.5,938.4133737215816,401.8325353397173,0.0,
ID1172771 ? ID1172500,28,1172771,1172500,0.0799135826085201,0.7252943725686676,0.13936438281244243,0.13936438281244243,48.5,939.918189492387,378.08723486266024,0.0,
ID1172325 ? ID1171858,28,1172325,1171858,0.1278533341319581,0.14795471148685263,0.809823780881498,0.809823780881498,45.5,936.8677076048814,404.88545663308696,0.0,
ID1175189 ? ID1175297,28,1175189,1175297,0.13775398253414828,2.6102139582529844,0.709928715960494,0.709928715960494,58.5,935.1590114681585,405.2079305664411,0.0,
ID1169019 ? ID1169420,28,1169019,1169420,0.08826695371367066,1.5445487815706456,0.10104322694902801,0.10104322694902801,31.5,941.8048010193017,394.2472958685751,0.0,
